"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"GLIS3-AS1",0.189158809641678,0.0273788646583237,0.516346929627116,0.0530241647376418,0.957712654117016,NA
"SLC1A1",1408.3466298856,1.43324678483799,0.536317424729328,2.67238526803661,0.00753141240538596,0.0318361517481557
"SPATA6L",144.842721246116,-0.687340086469464,0.292123035970324,-2.35291299156321,0.0186269920829774,0.0648384897750573
"PPAPDC2",136.046325975176,-0.152555656125407,0.21267679334604,-0.717312188721919,0.473181488069839,0.655318541265203
"CDC37L1-AS1",11.5623980578136,-0.11475022555057,0.453364097739196,-0.253108320934097,0.800184509020626,0.888841702310311
"CDC37L1",364.996117299203,0.00318207311390775,0.162766580743691,0.0195499168156549,0.984402416778232,0.992106178459552
"AK3",1753.30567049264,-0.470323690606058,0.177284036559024,-2.65293875147902,0.00797943485701146,0.033308699578601
"RCL1",248.648884410437,0.204611014882053,0.182035818737004,1.12401513230572,0.261006606420599,0.447622786521445
"MIR101-2",0.723310714470232,-0.270798042547155,0.624055991981819,-0.433932284965617,0.66433761448916,NA
"JAK2",698.133954784441,-0.263261497423331,0.159561021086997,-1.64991108498731,0.0989611231754831,0.227211396784235
"INSL6",1.39871232308,-0.546682009298236,0.733856830332152,-0.744943682067798,0.456305766482171,NA
"INSL4",0.567691019949366,0.162186988869381,0.598118733501281,0.271161860990321,0.786266544910457,NA
"RLN2",7.69383099975655,-1.58407201219518,0.573308612735441,-2.76303543502871,0.00572665490007736,0.0254431365880451
"RLN1",5.03310390603721,-0.910866150742068,0.606715751202298,-1.50130625245356,0.133276368556094,0.280114995312186
"PLGRKT",233.854930230069,-0.602654927898842,0.184891985908975,-3.25949729479102,0.00111609844921459,0.00664029402480151
"CD274",64.4480342926845,-0.139199884844565,0.241400367335559,-0.576634933827876,0.56418609510172,0.726139731945814
"PDCD1LG2",22.6750062847083,-0.398128045529864,0.347489343510736,-1.14572735240603,0.251907982590253,0.436453260695262
"RIC1",902.4380229503,-0.344684178610286,0.167826608536619,-2.05381126160979,0.039993962550323,0.116674865117706
"ERMP1",3363.05973348038,-1.20501201863033,0.179381623045951,-6.71758900476473,1.84755917807908e-11,9.77375065039428e-10
"MLANA",1.71572345419606,-1.16273120390211,0.728686924599843,-1.59565262480951,0.110566371293144,NA
"KIAA2026",1597.85426804619,-0.552332882826427,0.15423057056486,-3.58121532458541,0.000341999643678197,0.00248104965662064
"RANBP6",723.274319663411,-0.427166845291256,0.142411533071909,-2.99952423850086,0.00270401607965552,0.0137126741361448
"IL33",97.3625437948851,-0.403083104838113,0.32960233547263,-1.222937647757,0.221353247616691,0.399966061445143
"UHRF2",607.129490335827,-0.0666160516574221,0.148025562403854,-0.450030728312151,0.652688283958949,0.792388182038456
"GLDC",1744.35302081499,2.07128898056905,0.298015834605033,6.95026485191358,3.64601057256684e-12,2.25201536311857e-10
"KDM4C",902.014806280521,-0.00462060592049268,0.174872460944453,-0.026422719137923,0.978920173222905,0.989369692690194
"TMEM261",444.468356266725,-0.474015549936404,0.156512160304874,-3.02861802567326,0.00245675091822458,0.012643001482574
"PTPRD",1565.9255659817,2.09177060101907,0.342692941151121,6.10392088612249,1.03497530231618e-09,3.58035625783584e-08
"PTPRD-AS1",7.85489710653664,1.12242119572302,0.594509557630001,1.88797838708855,0.0590288520058839,0.15594382504987
"TYRP1",107.132502080268,-0.871518014095822,0.476921697953894,-1.82738176483653,0.0676423891424903,0.172638663232237
"LURAP1L-AS1",0.701171850857361,-0.357436239743723,0.566349758384221,-0.631122790205611,0.527960240733053,NA
"LURAP1L",53.6952214154068,-0.549419376621048,0.2914909499179,-1.88485912435976,0.0594488600113184,0.156747734853436
"MPDZ",1453.64851684171,0.0791597298314425,0.152181840548465,0.52016541228671,0.602948290165737,0.756244156136386
